NS;Matricule Operateur;Heur Passage;Temps Test;Presence Connecteur;Presence Blandage;Presence C2;Presence C24;INPUT CURRENT (NO TRIGER);INPUT TENSION (NO TRIGER);Apple Mode 3A VBUS  (0A/CC1);Apple Mode 3A D+  (0A/CC1);Apple Mode 3A D-  (0A/CC1);TYPE C VBUS (0A/CC1);TYPE C CC1 (0A/CC1);TYPE C VBUS (3A/CC1);PDO2 VBUS (0A/CC1);PDO2 VBUS (3A/CC1);PDO3 VBUS (0A/CC1);PDO3 VBUS (3A/CC1);PDO4 VBUS (0A/CC1);PDO4 VBUS (3A/CC1);PPS 8.5V VBUS (0A/CC1);PPS 8.5V VBUS (3A/CC1);PPS 20V VBUS (3A/CC1);Apple Mode 3A VBUS  (0A/CC2);Apple Mode 3A D+  (0A/CC2);Apple Mode 3A D-  (0A/CC2);TYPE C VBUS (0A/CC2);TYPE C CC2 (0A/CC2);TYPE C VBUS (3A/CC2);PDO2 VBUS (0A/CC2);PDO2 VBUS (3A/CC2);PDO3 VBUS (0A/CC2);PDO3 VBUS (3A/CC2);PDO4 VBUS (0A/CC2);PDO4 VBUS (3A/CC2);PPS 8.5V VBUS (0A/CC2);PPS 8.5V VBUS (3A/CC2);PPS 20V VBUS (3A/CC2);INPUT CURRENT (FULL LOAD);INPUT TENSION (FULL LOAD);Status Carte;
3073400591-00-W29-L2- 25 07G074-0002439;716;08:05:11;33,3;OK;OK;OK;OK;0,000;24,058;5,086;2,660;3,268;4,972;1,650;4,859;8,989;8,894;14,971;14,892;19,943;19,897;8,484;8,684;19,777;5,113;2,654;3,279;4,972;1,656;5,073;8,989;9,019;14,966;14,995;19,938;19,978;8,484;8,684;19,989;2,651;23,935;OK
;716;08:05:29;2,2;NON TESTE;NON TESTE;NON TESTE;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W05-L3- 25 02G005-0001441;716;08:05:47;1,0;FAIL;NON TESTE;NON TESTE;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W21-L2- 25 06G011-0000153;716;08:05:58;1,3;OK;OK;OK;FAIL;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W39-L2- 25 09G100-0000227;716;08:05:05;1,2;OK;OK;FAIL;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W11-L1- 25 02G149-0002884;716;08:05:15;4,0;OK;OK;OK;OK;0,000;24,058;0,011;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
;716;08:05:23;2,2;NON TESTE;NON TESTE;NON TESTE;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W20-L2- 26 06G023-0003373;716;08:05:19;32,9;OK;OK;OK;OK;0,002;24,052;5,124;2,671;3,279;4,978;1,661;4,973;8,989;9,019;14,987;15,017;19,981;20,011;8,484;8,684;19,891;5,119;2,687;3,279;4,983;1,661;5,079;8,989;9,024;14,993;15,022;19,970;20,011;8,484;8,690;20,022;2,620;23,935;OK
3073400591-00-W20-L2- 26 06G023-0003383;716;08:05:57;33,0;OK;OK;OK;OK;0,000;24,047;5,092;2,692;3,295;4,951;1,710;4,941;8,967;8,991;14,966;14,990;19,943;19,984;8,468;8,663;19,859;5,086;2,703;3,295;4,945;1,710;5,052;8,962;9,008;14,966;15,000;19,943;19,989;8,463;8,668;19,994;2,575;23,939;OK
3073400591-00-W20-L2- 26 06G023-0003375;716;08:05:59;33,0;OK;OK;OK;OK;0,000;24,058;5,130;2,692;3,289;4,999;1,721;5,001;9,000;9,035;14,993;15,028;19,965;20,005;8,501;8,701;19,891;5,135;2,654;3,268;4,999;1,721;5,090;8,995;9,013;14,993;15,011;19,965;20,005;8,501;8,701;20,022;2,638;23,936;OK
