NS;Matricule Operateur;Heur Passage;Temps Test;Presence Connecteur;Presence Blandage;Presence C2;Presence C24;INPUT CURRENT (NO TRIGER);INPUT TENSION (NO TRIGER);Apple Mode 3A VBUS  (0A/CC1);Apple Mode 3A D+  (0A/CC1);Apple Mode 3A D-  (0A/CC1);TYPE C VBUS (0A/CC1);TYPE C CC1 (0A/CC1);TYPE C VBUS (3A/CC1);PDO2 VBUS (0A/CC1);PDO2 VBUS (3A/CC1);PDO3 VBUS (0A/CC1);PDO3 VBUS (3A/CC1);PDO4 VBUS (0A/CC1);PDO4 VBUS (3A/CC1);PPS 8.5V VBUS (0A/CC1);PPS 8.5V VBUS (3A/CC1);PPS 20V VBUS (3A/CC1);Apple Mode 3A VBUS  (0A/CC2);Apple Mode 3A D+  (0A/CC2);Apple Mode 3A D-  (0A/CC2);TYPE C VBUS (0A/CC2);TYPE C CC2 (0A/CC2);TYPE C VBUS (3A/CC2);PDO2 VBUS (0A/CC2);PDO2 VBUS (3A/CC2);PDO3 VBUS (0A/CC2);PDO3 VBUS (3A/CC2);PDO4 VBUS (0A/CC2);PDO4 VBUS (3A/CC2);PPS 8.5V VBUS (0A/CC2);PPS 8.5V VBUS (3A/CC2);PPS 20V VBUS (3A/CC2);INPUT CURRENT (FULL LOAD);INPUT TENSION (FULL LOAD);Status Carte;
3073400591-00-W20-L2- 26 06G025-0001100;669;08:05:33;33,6;OK;OK;OK;OK;0,000;24,063;5,103;2,676;3,284;4,972;1,704;4,973;8,967;9,013;14,966;15,006;19,943;19,994;8,468;8,668;19,864;5,108;2,660;3,279;4,967;1,710;5,068;8,962;9,002;14,966;15,000;19,938;19,984;8,468;8,668;19,994;2,615;23,934;OK
3073400591-00-W20-L2- 26 06G025-0001745;669;08:05:17;35,1;OK;OK;OK;OK;0,000;24,052;5,097;2,660;3,251;4,967;1,661;4,963;8,967;9,013;14,955;15,000;19,922;19,967;8,473;8,668;19,848;5,097;2,633;3,262;4,967;1,666;5,057;8,973;9,008;14,955;14,990;19,922;19,962;8,468;8,668;19,967;2,629;23,934;OK
3073400591-00-W20-L2- 26 06G025-0001096;669;08:05:09;33,2;OK;OK;OK;OK;0,000;24,063;5,130;2,671;3,268;4,994;1,672;4,995;8,995;9,029;14,982;15,022;19,970;20,011;8,490;8,695;19,891;5,130;2,676;3,279;4,999;1,666;5,090;8,995;9,029;14,987;15,011;19,965;19,994;8,490;8,695;20,016;2,638;23,933;OK
3073400591-00-W20-L2- 26 06G025-0001744;669;08:05:11;35,6;OK;OK;OK;OK;0,000;24,063;5,108;2,660;3,295;4,978;1,672;4,973;8,967;9,013;14,955;15,000;19,949;19,989;8,468;8,668;19,859;5,108;2,692;3,284;4,978;1,672;5,073;8,967;9,002;14,960;14,990;19,943;19,984;8,468;8,668;19,994;2,614;23,934;OK
3073400591-00-W20-L2- 26 06G025-0002132;669;08:05:56;33,9;OK;OK;OK;OK;0,000;24,052;5,092;2,676;3,268;4,961;1,656;4,963;8,962;9,008;14,949;14,990;19,916;19,962;8,468;8,673;19,842;5,097;2,671;3,251;4,967;1,656;5,057;8,967;8,997;14,949;14,979;19,916;19,956;8,473;8,673;19,967;2,619;23,934;OK
3073400591-00-W20-L2- 26 06G025-0002090;669;08:05:35;33,3;OK;OK;OK;OK;0,000;24,052;5,135;2,660;3,284;4,994;1,645;4,990;8,989;9,029;14,976;15,017;19,965;20,005;8,484;8,684;19,886;5,130;2,665;3,284;4,989;1,639;5,073;8,989;9,019;14,982;15,006;19,970;19,994;8,490;8,690;20,011;2,632;23,933;OK
3073400591-00-W20-L2- 26 06G025-0002112;669;08:05:15;34,0;OK;OK;OK;OK;0,000;24,052;5,103;2,654;3,268;4,956;1,721;4,957;8,962;9,008;14,971;15,011;19,960;20,005;8,457;8,663;19,886;5,097;2,687;3,273;4,961;1,710;5,052;8,962;8,997;14,971;15,000;19,960;19,994;8,457;8,657;20,011;2,638;23,933;OK
3073400591-00-W20-L2- 26 06G025-0001699;669;08:05:55;33,2;OK;OK;OK;OK;0,000;24,052;5,103;2,687;3,279;4,978;1,661;4,973;8,973;9,019;14,966;15,006;19,932;19,978;8,468;8,673;19,853;5,113;2,671;3,284;4,978;1,661;5,073;8,967;9,008;14,966;14,995;19,932;19,967;8,468;8,668;19,984;2,634;23,933;OK
3073400591-00-W20-L2- 26 06G025-0002121;669;08:05:36;33,3;OK;OK;OK;OK;0,000;24,052;5,108;2,687;3,289;4,967;1,650;4,968;8,957;9,002;14,955;14,990;19,938;19,978;8,463;8,657;19,853;5,103;2,687;3,268;4,961;1,656;5,057;8,962;8,991;14,949;14,973;19,938;19,973;8,457;8,663;19,978;2,647;23,933;OK
3073400591-00-W20-L2- 26 06G025-0002325;669;08:05:15;33,1;OK;OK;OK;OK;0,000;24,063;5,119;2,687;3,284;4,983;1,715;4,979;8,989;9,024;14,982;15,022;19,970;20,016;8,479;8,679;19,897;5,119;2,660;3,284;4,983;1,715;5,073;8,984;9,013;14,982;15,011;19,970;20,005;8,484;8,684;20,027;2,624;23,932;OK
3073400591-00-W20-L2- 26 06G025-0001350;669;08:05:54;32,9;OK;OK;OK;OK;0,000;24,052;5,135;2,671;3,246;5,005;1,639;5,001;9,005;9,040;14,998;15,033;19,976;20,011;8,506;8,706;19,902;5,146;2,649;3,262;5,010;1,650;5,155;9,000;9,024;15,004;15,017;19,981;20,005;8,501;8,706;20,027;2,632;23,933;OK
3073400591-00-W20-L2- 26 06G025-0002320;669;08:05:35;32,8;OK;OK;OK;OK;0,000;24,058;5,141;2,654;3,289;5,005;1,645;5,006;9,005;9,046;15,004;15,049;19,992;20,043;8,506;8,706;19,918;5,146;2,682;3,284;5,010;1,645;5,090;9,011;9,035;15,004;15,033;19,998;20,027;8,511;8,701;20,038;2,652;23,932;OK
